time,open,high,low,close,Volume,Volume MA
2017-08-17T00:00:00Z,301.13,312.18,298,302,7030.71034,NaN
2017-08-18T00:00:00Z,302,311.79,283.94,293.96,9537.84646,NaN
2017-08-19T00:00:00Z,293.96,299.9,278,290.91,2146.19773,NaN
2017-08-20T00:00:00Z,290.91,300.53,282.85,299.1,2510.13871,NaN
2017-08-21T00:00:00Z,299.1,346.52,294.6,323.29,5219.44542,NaN
2017-08-22T00:00:00Z,323.29,330.41,144.21,309.8,7956.35088,NaN
2017-08-23T00:00:00Z,312.25,324.99,309.41,315.74,8665.72569,NaN
2017-08-24T00:00:00Z,315.74,328.04,314.01,323.42,6753.27192,NaN
2017-08-25T00:00:00Z,323.42,338.28,323.42,327.24,7125.96962,NaN
2017-08-26T00:00:00Z,327.24,335.44,323.41,330.79,4877.68521,NaN
2017-08-27T00:00:00Z,332.18,348.13,330.73,348.13,4635.43715,NaN
2017-08-28T00:00:00Z,348.11,351,331.95,346,4279.1817,NaN
2017-08-29T00:00:00Z,346,377.6,346,374.7,3032.13425,NaN
2017-08-30T00:00:00Z,374.7,393.71,362.05,385.93,4446.59608,NaN
2017-08-31T00:00:00Z,384.64,389.36,377.78,384.79,4433.61656,NaN
2017-09-01T00:00:00Z,384.79,394.39,383.18,388.46,4198.68434,NaN
2017-09-02T00:00:00Z,388.46,394.32,320.08,343.14,8240.32724,NaN
2017-09-03T00:00:00Z,343.14,367.28,320.08,341.77,5253.62211,NaN
2017-09-04T00:00:00Z,341.77,344.55,267.94,283.77,6737.81061,NaN
2017-09-05T00:00:00Z,286.81,321.52,235.55,312.09,8344.41924,5771.258562999999
2017-09-06T00:00:00Z,313.29,336.34,312.09,335,5486.30988,5694.03854
2017-09-07T00:00:00Z,335,342.5,320.17,334.49,3103.89745,5372.3410895
2017-09-08T00:00:00Z,334.49,335.1,272,302.99,4915.75693,5510.8190495
2017-09-09T00:00:00Z,302.99,307,281.66,296.74,2740.58822,5522.341525
2017-09-10T00:00:00Z,296.72,302.78,261.03,293.5,4156.45099,5469.1918035
2017-09-11T00:00:00Z,293.5,304.98,285.21,297.3,4829.64647,5312.856582999999
2017-09-12T00:00:00Z,297.3,316.46,286.01,293.96,5176.31402,5138.3859995
2017-09-13T00:00:00Z,293.96,294.5,257.05,276.91,6451.22836,5123.283821499999
2017-09-14T00:00:00Z,276.91,283.77,215,215.21,12601.95676,5397.083178499999
2017-09-15T00:00:00Z,217,270.93,192,253,14223.8953,5864.393683
2017-09-16T00:00:00Z,255.99,271.81,235.51,249.31,10362.06011,6150.724831
2017-09-17T00:00:00Z,249.31,264.39,239.02,257.55,4614.53337,6167.4924145
2017-09-18T00:00:00Z,257.55,306.22,257.11,294.57,4125.97051,6222.1842275
2017-09-19T00:00:00Z,294.57,300,277.41,284,1869.90852,6093.3498495
2017-09-20T00:00:00Z,284.01,294,275.91,282,1060.56734,5924.6973885
2017-09-21T00:00:00Z,282,287,252.1,257,1912.55583,5810.390963
2017-09-22T00:00:00Z,257,272.97,253.01,264,1464.5125,5471.600226
2017-09-23T00:00:00Z,264,286.23,255.11,285.93,2824.33572,5350.1359065
2017-09-24T00:00:00Z,285.93,294.61,275,282,5575.54422,5292.0225869999995
2017-09-25T00:00:00Z,282,299,281.34,294.42,5870.48035,5168.325642499999
2017-09-26T00:00:00Z,294.42,296.81,286.24,287.9,4566.92804,5122.356550499999
2017-09-27T00:00:00Z,289.91,313,286.13,309.74,5518.10382,5243.066868999999
2017-09-28T00:00:00Z,309.74,311.81,296.89,302.44,6600.90922,5327.324483499999
2017-09-29T00:00:00Z,302.44,303,274,292.22,11089.19902,5744.755023499999
2017-09-30T00:00:00Z,292.62,307.49,292.22,304.36,4020.60795,5737.962871499999
2017-10-01T00:00:00Z,304.36,306,294,303.95,5060.05758,5749.483426999999
2017-10-02T00:00:00Z,303.94,305,295,296.5,3710.83747,5676.209599499999
2017-10-03T00:00:00Z,298.15,301.99,283.18,292.48,5546.85702,5630.991032499999
2017-10-04T00:00:00Z,292.47,297.97,288,291.99,4014.88792,5201.637590499999
2017-10-05T00:00:00Z,290,297.44,285.53,294.81,3412.39016,4661.062333499998
2017-10-06T00:00:00Z,294.81,310.8,293.78,310.8,3541.02359,4320.010507499997
2017-10-07T00:00:00Z,309.9,318.5,303.6,311.01,2165.79076,4197.573376999998
2017-10-08T00:00:00Z,311.08,317.07,309,311.07,2960.93198,4139.321450499998
2017-10-09T00:00:00Z,311.13,312.13,286.65,297.19,4885.37863,4290.094955999998
2017-10-10T00:00:00Z,297.35,308.56,293,298.64,6749.27468,4574.530322999998
2017-10-11T00:00:00Z,298.64,305.5,298.02,304.01,3724.6863,4665.136846499999
